File-nr,logatome,SAM-PA,diphone,language
501,ATAHEITADEU,QatahaItadOY,haI,DE
502,ATANGSADAI,QataNsadaI,Ns,DE
503,ATASCHTADAI,QataStadaI,St,DE
504,DATÄAHTADEU,da:tE:a:tadOY,E:a:,DE
505,DATÜOHTADEU,daty:o:tadOY,y:o:,DE
506,PATUHKADAU,patu:kadaU,u:k,DE
507,ATAWDADAI,QatavdadaI,vd,DE
508,ATTESSADAI,Qat@sadaI,@s,DE
509,ATÄERDADEU,QatE:6da:daU,E:6,DE
510,ATÄHOTTADAU,QatE:OtadaU,E:O,DE
511,ATAT ADAI,QatatQadaI,tQ,DE
512,ATAHJADEU,Qata:ja:daU,a:j,DE
513,PATÄHKADAU,patE:kadaU,E:k,DE
514,PATANGADAU,patangadaU,ng,DE
515,APADFADAU,QapadfadaU,df,DE
516,ATÜHRADEU,Qaty:Ra:dOY,y:R,DE
517,ATTERCHADEU,Qat6xadOY,6x,DE
518,ATAHETADEU,Qatah@tadOY,h@,DE
519,ATAUNGADEU,QataUNadOY,aUN,DE
520,ATAGPADAI,QatagpadaI,gp,DE
521,ATALUTTADAU,Qata:lUtadaU,lU,DE
522,APAKGADAU,QapakgadaU,kg,DE
523,ATA UTTADAU,QataQUtadaU,QU,DE
524,PATAMFADAU,patamfa:daU,mf,DE
525,ATOHCHADEU,Qato:xadOY,o:x,DE
526,DATAUÖHTADEU,da:taU2:tadOY,aU2:,DE
527,ATEEJADEU,Qa:te:ja:daU,e:j,DE
528,ATTECHLADEU,QatECla:daU,Cl,DE
529,ATAUCHADEU,QataUxadOY,aUx,DE
530,ATATSCHITTADAU,QatatSItadaU,tSI,DE
531,ATATSCHEITADEU,QatatSaItadOY,tSaI,DE
532,ATATSCHETADEU,QatatS@tadOY,tS@,DE
533,DATIEÜHTADEU,dati:y:tadOY,i:y:,DE
534,APAKPFADAU,Qapakpfa:daU,kpf,DE
535,PATALTSADAU,pataltsadaU,lts,DE
536,DATACHÜHTADEU,da:taxy:tadOY,xy:,DE
537,DATÖIETADEU,dat2:i:tadOY,2:i:,DE
538,ATTECHERTADEU,QatEC6tadOY,C6,DE
539,DATAPFEHTADEU,da:tapfe:tadOY,pfe:,DE
540,ADEUSCHADAI,QadOYZadaI,OYZ,DE
541,ADÄHDADAI,QadE:dadaI,E:d,DE
542,ATAUETADEU,QataU@tadOY,aU@,DE
543,DATAIEHTADEU,datai:tadOY,ai:,DE
544,ATASCHBADAI,QataZbadaI,Zb,DE
545,ATAIÄTTADAU,QataIEtadaU,aIE,DE
546,DATASOHTADEU,dataso:tadOY,so:,DE
547,ADOH ADAI,Qado:QadaI,o:Q,DE
548,ATOOÜTTADAU,Qato:YtadaU,o:Y,DE
549,ATASUTTADAU,QatasUtadaU,sU,DE
550,ATARATTADAU,QataRatadaU,Ra,DE
551,ATAKUTTADAU,QatakUtadaU,kU,DE
552,DATAÖHTADEU,da:ta2:tadOY,a2:,DE
553,ADISSADUH,Qa:dIsadu:,u:*,DE
554,ATÄEDADEU,QatE@dadOY,E@,DE
555,JADISADAI,ja:dizadaI,*j,DE
556,ATTEATTADAU,Qat@atadaU,@a,DE
557,ADÜSCHADAI,QadYSadaI,YS,DE
558,DATAPFIEHTADEU,da:tapfi:tadOY,pfi:,DE
559,ATAWJADEU,Qatavja:daU,vj,DE
560,ATAFAUTADEU,QatafaUtadOY,faU,DE
561,ATAJNADEU,QatajnadOY,jn,DE
562,ATANGNADEU,QataNnadOY,Nn,DE
563,ATEULADEU,QatOYla:daU,OYl,DE
564,DATATÜHTADEU,dataty:tadOY,ty:,DE
565,PATEEGADAU,pa:te:gadaU,e:g,DE
566,ATAAITTADAU,Qata:ItadaU,a:I,DE
567,DATALÖHTADEU,datal2:tadOY,l2:,DE
568,ADEUCHADAI,QadOYCadaI,OYC,DE
569,ADAITADEU,QadaItadOY,aIt,DE
570,DATAWOHTADEU,da:tavo:tadOY,vo:,DE
571,ATAREUTADEU,QataROYtadOY,ROY,DE
572,PATUCKADAU,patUkadaU,Uk,DE
573,ATAPAHTADEU,Qatapa:tadOY,pa:,DE
574,DATASCHAHTADEU,da:taSa:tadOY,Sa:,DE
575,ATUMMADEU,Qa:tUma:daU,Um,DE
576,ADISSADECH,Qa:dIsadEC,C*,DE
577,ATÜNGADEU,QatYNadOY,YN,DE
578,ATAULADEU,QataUla:daU,aUl,DE
579,DATAPFÄHTADEU,da:tapfE:tadOY,pfE:,DE
580,ATTERTADAI,Qat6tadaI,6t,DE
581,ATABWADAI,QatabvadaI,bv,DE
582,ATTERSCHADAI,Qat6ZadaI,6Z,DE
583,ADÜSSADAI,QadYsadaI,Ys,DE
584,AZAMPADAI,QatsampadaI,mp,DE
585,ADABBADAI,QadabadaI,ab,DE
586,ATIEUTTADAU,Qati:UtadaU,i:U,DE
587,DATATZUHTADEU,datatsu:tadOY,tsu:,DE
588,ATAPFSCHADAI,QatapfSa:daI,pfS,DE
589,ADÜHSADAI,Qady:zadaI,y:z,DE
590,DATAÄHTADEU,da:taE:tadOY,aE:,DE
591,ATAMCHADAI,QatamxadaI,mx,DE
592,ATAÄTTADAU,QataEtadaU,aE,DE
593,ATATSCHEUTADEU,QatatSOYtadOY,tSOY,DE
594,ADÄCHADAI,QadECadaI,EC,DE
595,ATÄHÜTTADAU,QatE:YtadaU,E:Y,DE
596,ADUTZADAI,QadUtsadaI,Uts,DE
597,ATEELADEU,Qa:te:la:daU,e:l,DE
598,ATASAUTADEU,QatazaUtadOY,zaU,DE
599,DATAKAHTADEU,dataka:htadOY,ka:,DE
600,ATABGADAU,QatabgadaU,bg,DE
601,ATARNGADEU,QataRNadOY,RN,DE
602,ATATSCHMADEU,QatatSma:daU,tSm,DE
603,ATANGETADEU,QataN@tadOY,N@,DE
604,ATÖHMADEU,Qat2:ma:daU,2:m,DE
605,PATALGADAU,patalgadaU,lg,DE
606,ADEETSCHADAI,Qade:tSa:daI,e:tS,DE
607,ATASCHWADAI,QataZvadaI,Zv,DE
608,PATARPFADAU,pataRpfadaU,Rpf,DE
609,PATACHGADAU,pataxgadaU,xg,DE
610,ADISSADDER,Qa:dIsad6,6*,DE
611,DATOOÄHTADEU,dato:E:tadOY,o:E:,DE
612,ATACKERTADEU,Qatak6tadOY,k6,DE
613,ATANGITTADAU,QataNItadaU,NI,DE
614,ATADSCHADAI,QatadZadaI,dZ,DE
615,ATAPFSADAI,QatapfsadaI,pfs,DE
616,ADAITZADAI,QadaItsadaI,aIts,DE
617,ATADATTADAU,QatadatadaU,da,DE
618,ATAHJADEU,QatahjadOY,hj,DE
619,ATUHADEU,QatUhadOY,Uh,DE
620,ADOHWADAI,Qado:vadaI,o:v,DE
621,ATADTADAI,QatadtadaI,dt,DE
622,ADISSADDÖ,QadIsad9,9*,DE
623,DATÖAHTADEU,dat2:a:tadOY,2:a:,DE
624,ATALEUTADEU,QatalOYtadOY,lOY,DE
625,PATANGTSADAU,pataNtsadaU,Nts,DE
626,ATASDADAI,QatasdadaI,sd,DE
627,ATATSCHOTTADAU,QatatSOtadaU,tSO,DE
628,ATÄNNADEU,QatEnadOY,En,DE
629,ATACHDADAI,QataxdadaI,xd,DE
630,DATIEÄHTADEU,dati:E:tadOY,i:E:,DE
631,APAKCHADAI,QapakxadaI,kx,DE
632,ATAERTADEU,Qata6tadOY,a6,DE
633,ATAMNADEU,QatamnadOY,mn,DE
634,DATTEAUTADEU,dat@aUtadOY,@aU,DE
635,ATANGMADEU,QataNma:daU,Nm,DE
636,ATADSADAI,QatadzadaI,dz,DE
637,ADISSADAM,Qa:dIsa:dam,m*,DE
638,PATATSCHKADAU,patatSkadaU,tSk,DE
639,ATAWLADEU,Qatavla:daU,vl,DE
640,PATACHKADAU,pataxkadaU,xk,DE
641,DATÖEHTADEU,dat2:e:tadOY,2:e:,DE
642,PATAGTSCHADAU,patagtSadaU,gtS,DE
643,ATÖCHADEU,Qat9xadOY,9x,DE
644,PATANGKADAU,pataNkadaU,Nk,DE
645,DATAPFOHTADEU,da:tapfo:tadOY,pfo:,DE
646,ATARMADEU,QataRmadOY,Rm,DE
647,ATUHRADEU,Qatu:RadOY,u:R,DE
648,ATAPRADEU,QatapRadOY,pR,DE
649,ATÖOTTADAU,Qat2:OtadaU,2:O,DE
650,ADUHSADAI,Qadu:zadaI,u:z,DE
651,DATAHÖHTADEU,da:tah2:tadOY,h2:,DE
652,PATAPFKADAU,patapfkadaU,pfk,DE
653,DATAUAHTADEU,da:taUa:tadOY,aUa:,DE
654,DATALEHTADEU,datale:tadOY,le:,DE
655,DATAAÄHTADEU,da:ta:E:tadOY,a:E:,DE
656,ATEEMADEU,Qa:te:ma:daU,e:m,DE
657,DATASCHOHTADEU,dataZo:tadOY,Zo:,DE
658,ATAKDADAI,QatakdadaI,kd,DE
659,ATASRADEU,QatasRa:dOY,sR,DE
660,ATAMWADAI,QatamvadaI,mv,DE
661,ATULLADEU,QatUla:daU,Ul,DE
662,ATACHÖTTADAU,Qatax9tadaU,x9,DE
663,ATALLADEU,Qatala:daU,al,DE
664,ATIEDADEU,QatI@dadOY,I@,DE
665,APAKSCHADAI,QapakZadaI,kZ,DE
666,ADÖPPADAI,Qad9padaI,9p,DE
667,ATÖHNADEU,Qat2:nadOY,2:n,DE
668,PATAJPFADAU,patajpfa:daU,jpf,DE
669,ADIEWADAI,Qadi:vadaI,i:v,DE
670,ATATZJADEU,Qatatsja:daU,tsj,DE
671,ADISSADAI,Qa:dIsadaI,Is,DE
672,ATACHETADEU,Qatax@tadOY,x@,DE
673,DATAUEHTADEU,dataUe:tadOY,aUe:,DE
674,ADAUWADAI,QadaUvadaI,aUv,DE
675,ATANGUTTADAU,QataNUtadaU,NU,DE
676,DATOOEHTADEU,dato:e:tadOY,o:e:,DE
677,ATASCHNADEU,QataZnadOY,Zn,DE
678,ADÄSSADAI,QadEsadaI,Es,DE
679,ATUEDADEU,QatU@da:dOY,U@,DE
680,ATÜITTADAU,QatYItadaU,YI,DE
681,ATAPEHTADEU,Qatape:tadOY,pe:,DE
682,ATATSCHNADEU,QatatSnadOY,tSn,DE
683,ATAGOTTADAU,Qata:gOtadaU,gO,DE
684,ATAHÖTTADAU,Qatah9tadaU,h9,DE
685,ATAFFETADEU,Qataf@tadOY,f@,DE
686,ATAAUTTADAU,Qata:UtadaU,a:U,DE
687,PATASTSCHADAU,patastSa:daU,stS,DE
688,ADATZADAI,QadatsadaI,ats,DE
689,ATAPFÄTTADAU,QatapfEtadaU,pfE,DE
690,PATASCHFADAU,pataSfa:daU,Sf,DE
691,PATAJGADAU,patajgadaU,jg,DE
692,ATTÖÜTTADAU,Qat9YtadaU,9Y,DE
693,PATÄHFADAU,patE:fa:daU,E:f,DE
694,ATAMSCHADAI,QatamSa:daI,mS,DE
695,ATOHMADEU,Qato:ma:daU,o:m,DE
696,APAKWADAI,QapakvadaI,kv,DE
697,ATEERADEU,Qate:RadOY,e:R,DE
698,ATAPPETADEU,Qatap@tadOY,p@,DE
699,ATASCHAUTADEU,QataSaUtadOY,SaU,DE
700,DATTEUHTADEU,dat@u:tadOY,@u:,DE
701,ATÄHMADEU,QatE:ma:daU,E:m,DE
702,ATANGÖTTADAU,QataN9tadaU,N9,DE
703,ADISSADÄH,Qa:dIsadE:,E:*,DE
704,ATAGWADAI,QatagvadaI,gv,DE
705,ATASCHRADEU,QataZRadOY,ZR,DE
706,APAKSCHADAI,QapakSa:daI,kS,DE
707,ADEETZADAI,Qade:tsadaI,e:ts,DE
708,ATAPMADEU,Qatapma:daU,pm,DE
709,ATÄHADEU,QatE:hadOY,E:h,DE
710,ADAPPADAI,QadapadaI,ap,DE
711,DATASÜHTADEU,datasy:tadOY,sy:,DE
712,DATAGIEHTADEU,da:tagi:tadOY,gi:,DE
713,ATAHNGADEU,Qata:NadOY,a:N,DE
714,ATIHADEU,QatIhadOY,Ih,DE
715,ATATSCHRADEU,QatatSRadOY,tSR,DE
716,SADISADAI,za:dizadaI,*z,DE
717,ATOHHADEU,Qato:hadOY,o:h,DE
718,ATEUEDADEU,QatOY@da:daU,OY@,DE
719,ADISSADAW,Qa:dIsadav,v*,DE
720,PATATZKADAU,patatskadaU,tsk,DE
721,ATUCHADEU,QatUxadOY,Ux,DE
722,DATASÄHTADEU,datasE:tadOY,sE:,DE
723,DATTEÖHTADEU,da:t@2:tadOY,@2:,DE
724,PATOFFADAU,patOfa:daU,Of,DE
725,ATASEUTADEU,Qata:zOYtadOY,zOY,DE
726,ADAUPADAI,QadaUpadaI,aUp,DE
727,ATALÜTTADAU,QatalYtadaU,lY,DE
728,PATALKADAU,patalkadaU,lk,DE
729,ATASBADAI,QatazbadaI,zb,DE
730,ATALDADAI,QataldadaI,ld,DE
731,PATUHPFADAU,patu:pfa:daU,u:pf,DE
732,ATAPHADEU,QataphadOY,ph,DE
733,PATTEKADAU,pat@kadaU,@k,DE
734,ATAKATTADAU,QatakatadaU,ka,DE
735,ATIERDADEU,QatI6dadOY,I6,DE
736,ATAIJADEU,QataIja:daU,aIj,DE
737,PATÄFFADAU,patEfa:daU,Ef,DE
738,ADIESADAI,Qadi:zadaI,i:z,DE
739,ATAMEITADEU,QatamaItadOY,maI,DE
740,ATA EHTADEU,QataQe:tadOY,Qe:,DE
741,ATAWITTADAU,QatavItadaU,vI,DE
742,ATÖÄTTADAU,Qat2:EtadaU,2:E,DE
743,ATAWNADEU,QatavnadOY,vn,DE
744,ATÄHCHADEU,QatE:CadOY,E:C,DE
745,DADISSADAI,da:dIsadaI,*d,DE
746,ADÄHWADAI,QadE:vadaI,E:v,DE
747,ATASWADAI,QatazvadaI,zv,DE
748,ATAPJADEU,Qatapja:daU,pj,DE
749,ATAFTADAI,QataftadaI,ft,DE
750,ATTERWADAI,Qat6vadaI,6v,DE
751,ATAPUHTADEU,Qatapu:tadOY,pu:,DE
752,ATAGEUTADEU,Qata:gOYtadOY,gOY,DE
753,DATASCHÜHTADEU,dataZy:tadOY,Zy:,DE
754,ADIE ADAI,Qadi:QadaI,i:Q,DE
755,ADÄHTZADAI,QadE:tsadaI,E:ts,DE
756,DATADUHTADEU,da:tadu:tadOY,du:,DE
757,ATTECHRADEU,QatECRa:dOY,CR,DE
758,ATAILADEU,QataIladOY,aIl,DE
759,ATONGADEU,QatONadOY,ON,DE
760,DATOOÜHTADEU,dato:y:tadOY,o:y:,DE
761,ATUHLADEU,Qatu:la:daU,u:l,DE
762,ADIESADAI,Qadi:sadaI,i:s,DE
763,DATADAHTADEU,da:tada:tadOY,da:,DE
764,ATEUNGADEU,QatOYNadOY,OYN,DE
765,ATÜMMADEU,QatYma:daU,Ym,DE
766,ATÜÄTTADAU,Qaty:EtadaU,y:E,DE
767,ADEUTSCHADAI,QadOYtSa:daI,OYtS,DE
768,ATATDADAI,Qata:tdadaI,td,DE
769,RADISADAI,RadizadaI,*R,DE
770,PATTERFADAU,pat6fa:daU,6f,DE
771,PATASCHFADAU,pataZfadaU,Zf,DE
772,DATAHUHTADEU,da:tahu:tadOY,hu:,DE
773,ATEEÄTTADAU,Qa:te:EtadaU,e:E,DE
774,ATAGAITADEU,Qata:gaItadOY,gaI,DE
775,ATAFATTADAU,QatafatadaU,fa,DE
776,ATAKTADAI,QataktadaI,kt,DE
777,DATAKOHTADEU,da:tako:tadOY,ko:,DE
778,ATÖÜTTADAU,Qat2:YtadaU,2:Y,DE
779,ATAAEDADEU,Qata:@da:daU,a:@,DE
780,ATAKÜTTADAU,QatakYtadaU,kY,DE
781,ATADMADEU,QatadmadOY,dm,DE
782,PATASPFADAU,patazpfadaU,zpf,DE
783,ATEEATTADAU,Qa:te:atadaU,e:a,DE
784,ATAPLADEU,Qata:pla:daU,pl,DE
785,DATANGAHTADEU,dataNa:tadOY,Na:,DE
786,DATTEOHTADEU,da:t@o:tadOY,@o:,DE
787,DATANGÖHTADEU,dataN2:tadOY,N2:,DE
788,LADISADAI,la:dizadaI,*l,DE
789,PATAMTSCHADAU,patamtSa:daU,mtS,DE
790,DATAAÜHTADEU,da:ta:y:tadOY,a:y:,DE
791,ATASSCHADAI,QatazZadaI,zZ,DE
792,ATÜOTTADAU,Qaty:OtadaU,y:O,DE
793,ATAETADEU,Qata@tadOY,a@,DE
794,ADEEWADAI,Qade:vadaI,e:v,DE
795,ATOJJADAI,QatOjadaI,Oj,DE
796,ATATUTTADAU,QatatUtadaU,tU,DE
797,DATAPFAHTADEU,da:tapfa:tadOY,pfa:,DE
798,DATTEEHTADEU,dat@e:tadOY,@e:,DE
799,DATARÜHTADEU,dataRy:tadOY,Ry:,DE
800,DATATEHTADEU,data:te:tadOY,te:,DE
801,PATACKADAU,patakadaU,ak,DE
802,ATAGHADEU,QataghadOY,gh,DE
803,ATOERTADEU,QatO6tadOY,O6,DE
804,ATAPOTTADAU,QatapOtadaU,pO,DE
805,ATIEJADEU,Qati:ja:daU,i:j,DE
806,ATAKAITADEU,QatakaItadOY,kaI,DE
807,ADIPPADAI,QadIpadaI,Ip,DE
808,DATÜUHTADEU,daty:u:tadOY,y:u:,DE
809,ATAGSCHADAI,QatagZadaI,gZ,DE
810,ATATCHADEU,QatatxadOY,tx,DE
811,ATAMJADEU,Qatamja:daU,mj,DE
812,ATÖERDADEU,Qat2:6dadOY,2:6,DE
813,ATACHSCHADAI,QataxZadaI,xZ,DE
814,ADÖSCHADAI,Qad9Sa:daI,9S,DE
815,ATATZOTTADAU,QatatsOtadaU,tsO,DE
816,PATOHKADAU,pato:kadaU,o:k,DE
817,ATATTETADEU,Qatat@tadOY,t@,DE
818,ATABBETADEU,QatQapb@tadOY,b@,DE
819,ATAUITTADAU,QataUItadaU,aUI,DE
820,ADISSADDE,Qa:dIsad@,@*,DE
821,ADUSSADAI,QadUsadaI,Us,DE
822,PATASGADAU,patazgadaU,zg,DE
823,ATAUATTADAU,QataUatadaU,aUa,DE
824,ATAFÄTTADAU,QatafEtadaU,fE,DE
825,ATALSCHADAI,QatalSa:daI,lS,DE
826,PATAFPFADAU,patafpfa:daU,fpf,DE
827,PATEEKADAU,pa:te:kadaU,e:k,DE
828,PATAFGADAU,patafgadaU,fg,DE
829,ATOHJADEU,Qato:ja:daU,o:j,DE
830,ATASCHOTTADAU,QataZOtadaU,ZO,DE
831,APAKMADEU,Qapakma:daU,km,DE
832,ATAHUTTADAU,QatahUtadaU,hU,DE
833,ATAPIEHTADEU,Qatapi:tadOY,pi:,DE
834,ATIEÄTTADAU,Qati:EtadaU,i:E,DE
835,DATTERÜHTADEU,dat6y:tadOY,6y:,DE
836,DATATZEHTADEU,datatse:tadOY,tse:,DE
837,ADOTSCHADAI,QadOtSadaI,OtS,DE
838,ATTERATTADAU,Qat6atadaU,6a,DE
839,ATANRADEU,QatanRadOY,nR,DE
840,ATATSCHWADAI,QatatSvadaI,tSv,DE
841,SCHADISADAI,ZadisadaI,*Z,DE
842,ADÖSCHADAI,Qad9ZadaI,9Z,DE
843,ATAGAUTADEU,Qata:gaUtadOY,gaU,DE
844,ATANGERTADEU,QataN6tadOY,N6,DE
845,DATTEEITADEU,da:t@aItadOY,@aI,DE
846,ADÖHSADAI,Qad2:zadaI,2:z,DE
847,ATANSCHADAI,QatanZadaI,nZ,DE
848,ATA OHTADEU,QataQo:tadOY,Qo:,DE
849,PATÜHKADAU,paty:kadaU,y:k,DE
850,ATASCHNADEU,QataSnadOY,Sn,DE
851,ATANUTTADAU,QatanUtadaU,nU,DE
852,DATASOHTADEU,da:tazo:tadOY,zo:,DE
853,ATTESCHADAI,Qat@ZadaI,@Z,DE
854,DATÄAHTADEU,datEa:tadOY,Ea:,DE
855,ATABSADAI,QatabsadaI,bs,DE
856,ATASSERTADEU,Qataz6tadOY,z6,DE
857,ATACHSCHADAI,QataxSa:daI,xS,DE
858,ATA AHTADEU,QataQa:tadOY,Qa:,DE
859,ATARÄTTADAU,QataREtadaU,RE,DE
860,ATTELADEU,Qat@la:daU,@l,DE
861,ATÄERDADEU,QatE6dadOY,E6,DE
862,ATAGRADEU,QatagRadOY,gR,DE
863,ATATZEUTADAU,QatatsOYtadaU,tsOY,DE
864,PATOCKADAU,patOkadaU,Ok,DE
865,APAKRADEU,QapakRadOY,kR,DE
866,ATAURADEU,QataURadOY,aUR,DE
867,ATAMMERTADEU,Qatam6tadOY,m6,DE
868,ATÄHATTADAU,QatE:atadaU,E:a,DE
869,PATATZFADAU,patatsfa:daU,tsf,DE
870,DATEEÖHTADEU,da:te:2:tadOY,e:2:,DE
871,ATAR ADAI,QataRQadaI,RQ,DE
872,ADAISADEU,QadaIsadOY,aIs,DE
873,ATAHADEU,QatahadOY,ah,DE
874,ATAWÄTTADAU,QatavEtadaU,vE,DE
875,ATOLLADEU,QatOla:daU,Ol,DE
876,ADÖSSADAI,Qad9sadaI,9s,DE
877,ATAFFERTADEU,Qataf6tadOY,f6,DE
878,DATASÜHTADEU,da:tazy:tadOY,zy:,DE
879,ATÄHITTADAU,QatE:ItadaU,E:I,DE
880,ATATTERTADEU,Qatat6tadOY,t6,DE
881,ATA OTTADAU,QataQOtadaU,QO,DE
882,ATTENGADEU,Qat@NadOY,@N,DE
883,ATTEÄTTADAU,Qat@EtadaU,@E,DE
884,DATATIEHTADEU,datati:tadOY,ti:,DE
885,PATIEKADAU,pati:ktadaU,i:k,DE
886,PATALPFADAU,patalpfa:daU,lpf,DE
887,DATTEROHTADEU,dat6o:tadOY,6o:,DE
888,ATAGSCHADAI,QatagSadaI,gS,DE
889,ATTESCHADAI,Qat@Sa:daI,@S,DE
890,PATUPFADAU,patUpfa:daU,Upf,DE
891,ATAGÜTTADAU,Qata:gYtadaU,gY,DE
892,ATUNNADEU,QatUnadOY,Un,DE
893,PATAPFFADAU,patapffadaU,pff,DE
894,DATAGUHTADEU,da:ta:gu:tadOY,gu:,DE
895,DATANÄHTADEU,da:tanE:tadOY,nE:,DE
896,ATASCHWADAI,QataSvadaI,Sv,DE
897,ATAHRADEU,Qata:RadOY,a:R,DE
898,PATAGADAU,patagadaU,ag,DE
899,ATASCHATTADAU,QataSatadaU,Sa,DE
900,ATACHPADAI,QataxpadaI,xp,DE
901,ATAHOTTADAU,QatahOtadaU,hO,DE
902,ATABSCHADAI,QatabZadaI,bZ,DE
903,ATATZÄTTADAU,QatatsEtadaU,tsE,DE
904,ADISADAI,QadIzadaI,Iz,DE
905,ATANGEUTADEU,QataNOYtadOY,NOY,DE
906,ATAM ADAI,QatamQadaI,mQ,DE
907,ATASSETADEU,Qataz@tadOY,z@,DE
908,PATEEPFADAU,pa:te:pfa:daU,e:pf,DE
909,ADISSADAD,Qa:dIsadad,d*,DE
910,ATAGJADEU,Qata:gjadOY,gj,DE
911,PATAIGADAU,pataIgadaU,aIg,DE
912,ATOOÖTTADAU,Qato:9tadaU,o:9,DE
913,ATEUMADEU,QatOYma:daU,OYm,DE
914,ADISSADAU,Qa:dIsadaU,aU*,DE
915,ATASHADEU,QatazhadOY,zh,DE
916,DATARÖHTADEU,dataR2:tadOY,R2:,DE
917,APAKJADEU,Qapakja:daU,kj,DE
918,ATAPFTADAI,QatapftadaI,pft,DE
919,ATARPADAI,QatRpadaI,Rp,DE
920,DATAJOHTADEU,da:tajo:tadOY,jo:,DE
921,DATEEÜHTADEU,da:te:y:tadOY,e:y:,DE
922,ATTEMADEU,Qat@ma:daU,@m,DE
923,ATAPAITADEU,QatapaItadOY,paI,DE
924,PATEUFADAU,patOYfa:daU,OYf,DE
925,ATAGLADEU,Qata:gla:daU,gl,DE
926,BADISSADAI,ba:dIsadaI,*b,DE
927,ATATSCHÜHTADEU,QatatSy:tadOY,tSy:,DE
928,ADÄHTSCHADAI,QadE:tSa:daI,E:tS,DE
929,ATAFAITADEU,QatafaItadOY,faI,DE
930,TZADISADAI,tsa:dizadaI,*ts,DE
931,ATAWWETADEU,Qatav@tadOY,v@,DE
932,DATARIEHTADEU,dataRi:tadOY,Ri:,DE
933,ATASCHEUTADEU,QataSOYtadOY,SOY,DE
934,ATARWADAI,QataRvadaI,Rv,DE
935,ATASHADEU,QatashadOY,sh,DE
936,DATACHAHTADEU,da:taxa:tadOY,xa:,DE
937,PATASCHGADAU,pataZgadaU,Zg,DE
938,ATADLADEU,QatadladOY,dl,DE
939,ATTECHADAI,Qat@CadaI,@C,DE
940,ADIEDADAI,Qadi:dadaI,i:d,DE
941,PATATZGADAU,patatsgadaU,tsg,DE
942,ATABÄTTADAU,QatabEtadaU,bE,DE
943,ATASCHLADEU,QataZladOY,Zl,DE
944,DATÄÖHTADEU,da:tE:2:tadOY,E:2:,DE
945,ATAAOTTADAU,Qata:OtadaU,a:O,DE
946,ADISSADAI,Qa:dIsadaI,aI*,DE
947,ATTERÄTTADAU,Qat6EtadaU,6E,DE
948,ATTEERDADEU,Qat@6da:daU,@6,DE
949,DATAIÄHTADEU,da:taIE:tadOY,aIE:,DE
950,ADÖHPADAI,Qad2:padaI,2:p,DE
951,ADÄSSADAI,QadEzadaI,Ez,DE
952,ADÜWWADAI,QadYvadaI,Yv,DE
953,ADEUTZADAI,QadOYtsadaI,OYts,DE
954,DATAWUHTADEU,da:tavu:tadOY,vu:,DE
955,ATAUTTADAU,QataUtadaU,aU,DE
956,ATTECHAITADEU,QatECaItadOY,CaI,DE
957,ATTEWADAI,Qat@vadaI,@v,DE
958,PATANGPFADAU,pataNpfa:daU,Npf,DE
959,DATAUIEHTADEU,da:taUi:tadOY,aUi:,DE
960,ATÄNGADEU,QatENadOY,EN,DE
961,DATTEEUTADEU,dat@OYtadOY,@OY,DE
962,ADÄSCHADAI,QadESa:daI,ES,DE
963,ATACHLADEU,Qataxla:daU,xl,DE
964,ADEUTADAI,QadOYtadaI,OYt,DE
965,ATAIOTTADAU,QataIOtadaU,aIO,DE
966,ATAPSCHADAI,QatapZadaI,pZ,DE
967,ATÄJADEU,QatEja:daU,Ej,DE
968,ATABEUTADEU,QatabOYtadOY,bOY,DE
969,PATÜFFADAU,patYfa:daU,Yf,DE
970,ATATSCHSCHADAI,QatatSSadaI,tSS,DE
971,PATUHFADAU,patu:fa:daU,u:f,DE
972,ATURRADEU,QatURadOY,UR,DE
973,ATÄHLADEU,QatE:ltadOY,E:l,DE
974,ADÜHDADAI,Qady:dadaI,y:d,DE
975,ATATZSADAI,QatatssadaI,tss,DE
976,ADÜTSCHADAI,QadYtSa:daI,YtS,DE
977,ATASCHATTADAU,QataZatadaU,Za,DE
978,DATOOAHTADEU,dato:a:tadOY,o:a:,DE
979,ATOHLADEU,Qato:la:daU,o:l,DE
980,PATATSCHPFADAU,patatSpfa:daU,tSpf,DE
981,ATANITTADAU,QatanItadaU,nI,DE
982,ATATSCHCHADAI,QatatSxadaI,tSx,DE
983,PATTECHTSCHADAU,patECtSa:daU,CtS,DE
984,DATAKIEHTADEU,da:taki:tadOY,ki:,DE
985,DATASCHÜHTADEU,da:taSy:tadOY,Sy:,DE
986,DATTERAHTADEU,dat6a:tadOY,6a:,DE
987,ATTERPADAI,Qat6padaI,6p,DE
988,ATATZWADAI,QatatsvadaI,tsv,DE
989,ATÜATTADAU,Qaty:atadaU,y:a,DE
990,ATAPF ADAI,QatapfQadaI,pfQ,DE
991,ATASCHDADAI,QataSdadaI,Sd,DE
992,ATATSCHÄTTADAU,QatatSEtadaU,tSE,DE
993,ADUHSCHADAI,Qadu:Sa:daI,u:S,DE
994,DATAMOHTADEU,da:tamo:tadOY,mo:,DE
995,PATÖFFADAU,pat9fa:daU,9f,DE
996,ATANSCHADAI,QatanSa:daI,nS,DE
997,ADIETSCHADAI,Qadi:tSa:daI,i:tS,DE
998,ATATSCHSCHADAI,QatatSZadaI,tSZ,DE
999,ATIEOTTADAU,Qati:OtadaU,i:O,DE
1000,ATOHNGADEU,Qato:NadOY,o:N,DE
